Gene1	Gene2	combine_score
EDNRB	GFRA1	0.841
EDNRB	GFRA2	0.282
EDNRB	GFRA3	0.430
EDNRB	GHRL	0.540
EDNRB	GHSR	0.438
EDNRB	GJB3	0.201
EDNRB	GNA11	0.971
EDNRB	GNA12	0.930
EDNRB	GNA13	0.960
EDNRB	GNA14	0.732
EDNRB	GNA15	0.715
EDNRB	GNAI1	0.921
EDNRB	GNAI2	0.919
EDNRB	GNAI3	0.916
EDNRB	GNAQ	0.975
EDNRB	GNRH1	0.563
EDNRB	GPR143	0.355
EDNRB	GPR150	0.194
EDNRB	GRK2	0.729
EDNRB	GRK5	0.567
EDNRB	GRP	0.697
EDNRB	GRPR	0.419
EDNRB	HTR1B	0.445
EDNRB	HTR2C	0.440
EDNRB	INS	0.395
EDNRB	KDR	0.485
EDNRB	KEL	0.212
EDNRB	KIT	0.703
EDNRB	KNG1	0.943
EDNRB	LGALS1	0.370
EDNRB	MC1R	0.527
EDNRB	MITF	0.670
EDNRB	MLN	0.530
EDNRB	MLNR	0.411
EDNRB	MLPH	0.188
EDNRB	MSX2	0.360
EDNRB	NCAM1	0.418
EDNRB	NECTIN1	0.303
EDNRB	NGB	0.382
EDNRB	NMBR	0.428
EDNRB	NMUR1	0.422
EDNRB	NMUR2	0.400
EDNRB	NODAL	0.410
EDNRB	NOS1	0.434
EDNRB	NOS3	0.701
EDNRB	NPPA	0.431
EDNRB	NPR1	0.314
EDNRB	NPR3	0.226
EDNRB	NPS	0.523
EDNRB	NPSR1	0.498
EDNRB	NR4A1	0.494
EDNRB	NRTN	0.456
EDNRB	NTS	0.568
EDNRB	OCA2	0.410
EDNRB	PAX3	0.648
EDNRB	PDE5A	0.482
EDNRB	PIK3C2G	0.289
EDNRB	PLCB1	0.572
EDNRB	PLCB2	0.537
EDNRB	PLCB3	0.574
EDNRB	PLK4	0.429
EDNRB	PLP1	0.391
EDNRB	POMC	0.765
EDNRB	PPARG	0.441
EDNRB	PPP3CA	0.481
EDNRB	PROKR1	0.471
EDNRB	PROKR2	0.440
EDNRB	PTGFR	0.317
EDNRB	PTGIR	0.399
EDNRB	PTGIS	0.381
EDNRB	REN	0.514
EDNRB	RET	0.847
EDNRB	RNASE2	0.370
EDNRB	RXFP1	0.323
EDNRB	SCARB2	0.467
EDNRB	SEMA4A	0.379
EDNRB	SIK1	0.252
EDNRB	SLC1A1	0.437
EDNRB	SLC45A2	0.478
EDNRB	TFAP2B	0.241
EDNRB	TRH	0.512
EDNRB	TRHR	0.414
EDNRB	TRIO	0.499
EDNRB	TRPM1	0.411
EDNRB	TYR	0.691
EDNRB	UTS2R	0.427
EDNRB	VIP	0.440
EDNRB	ZNF154	0.201
EEA1	EGF	0.698
EEA1	EGFR	0.677
EEA1	EPN1	0.354
EEA1	EPN2	0.555
EEA1	ERBB2	0.836
EEA1	FCGR2A	0.411
EEA1	FCHO2	0.238
EEA1	FIG4	0.358
EEA1	FURIN	0.461
EEA1	GAPDH	0.546
EEA1	GGA1	0.396
EEA1	GGA2	0.352
EEA1	GOPC	0.427
EEA1	GORASP1	0.378
EEA1	GPR176	0.205
EEA1	GRIK4	0.323
EEA1	GRIP1	0.509
EEA1	HSP90B1	0.506
EEA1	IGF1R	0.412
EEA1	IGF2R	0.679
EEA1	INPP5B	0.390
EEA1	IST1	0.275
EEA1	KIAA0319	0.468
EEA1	KIF13A	0.330
EEA1	KIF14	0.420
EEA1	KIF16B	0.588
EEA1	KIF5B	0.453
EEA1	KLK2	0.341
EEA1	KPNA5	0.284
EEA1	KPNA7	0.260
EEA1	LAMP2	0.864
EEA1	LMAN1	0.514
EEA1	M6PR	0.395
EEA1	MAN2A1	0.254
EEA1	MAP1LC3B	0.459
EEA1	MAPK3	0.408
EEA1	MET	0.570
EEA1	MICAL1	0.201
EEA1	MLPH	0.211
EEA1	MT-ND4	0.465
EEA1	MTM1	0.393
EEA1	MTMR2	0.341
EEA1	MYO5B	0.403
EEA1	NECTIN1	0.365
EEA1	NPC1	0.406
EEA1	OCRL	0.543
EEA1	OSBPL8	0.245
EEA1	PACSIN2	0.327
EEA1	PDCD6IP	0.427
EEA1	PIK3C2B	0.226
EEA1	PIK3C3	0.967
EEA1	PLCD1	0.353
EEA1	PLEKHA1	0.277
EEA1	PLEKHA3	0.392
EEA1	PTPN23	0.411
EEA1	PXDN	0.550
EEA1	PYCR1	0.424
EEA1	RAB10	0.510
EEA1	RAB11A	0.898
EEA1	RAB11FIP2	0.397
EEA1	RAB13	0.338
EEA1	RAB14	0.630
EEA1	RAB15	0.660
EEA1	RAB18	0.270
EEA1	RAB19	0.356
EEA1	RAB1A	0.544
EEA1	RAB1B	0.463
EEA1	RAB22A	0.793
EEA1	RAB25	0.370
EEA1	RAB27A	0.406
EEA1	RAB27B	0.241
EEA1	RAB2A	0.355
EEA1	RAB33A	0.411
EEA1	RAB33B	0.444
EEA1	RAB3B	0.226
EEA1	RAB3D	0.222
EEA1	RAB3GAP2	0.333
EEA1	RAB43	0.401
EEA1	RAB4A	0.860
EEA1	RAB5A	0.999
EEA1	RAB5C	0.988
EEA1	RAB7A	0.635
EEA1	RAB8A	0.566
EEA1	RAB8B	0.297
EEA1	RAB9A	0.509
EEA1	RAB9B	0.209
EEA1	RABGEF1	0.985
EEA1	RASA1	0.464
EEA1	RBSN	0.419
EEA1	RIN2	0.176
EEA1	RSPO3	0.328
EEA1	RSPO4	0.203
EEA1	RUFY1	0.294
EEA1	SEC31A	0.343
EEA1	SEC61A1	0.412
EEA1	SEMA4D	0.385
EEA1	SMAD3	0.419
EEA1	SNAP91	0.396
EEA1	SNX2	0.619
EEA1	SNX3	0.553
EEA1	SNX8	0.276
EEA1	SORT1	0.431
EEA1	SPAG9	0.327
EEA1	SRC	0.453
EEA1	STEAP2	0.752
EEA1	STX10	0.328
EEA1	STX4	0.347
EEA1	STX6	0.964
EEA1	SYT7	0.248
EEA1	TBC1D20	0.211
EEA1	TFRC	0.913
EEA1	TLR9	0.820
EEA1	TOM1	0.722
EEA1	TP53	0.427
EEA1	TPP2	0.245
EEA1	TRIP11	0.736
EEA1	TSG101	0.581
EEA1	UBAP1	0.196
EEA1	USP8	0.475
EEA1	VAMP2	0.431
EEA1	VAMP3	0.521
EEA1	VAMP4	0.446
EEA1	VAMP7	0.472
EEA1	VAMP8	0.449
EEA1	VCP	0.418
EEA1	VPS26A	0.651
EEA1	VPS28	0.321
EEA1	VPS35	0.779
EEA1	VPS36	0.383
EEA1	VPS4A	0.328
EEA1	VPS4B	0.254
EEA1	VPS54	0.263
EEA1	VTI1B	0.455
EEA1	ZFYVE16	0.610
EEA1	ZFYVE9	0.366
EED	EGR1	0.571
EED	EGR2	0.589
EED	EHMT1	0.599
EED	EHMT2	0.688
EED	EP300	0.632
EED	ESRRB	0.416
EED	EZH2	0.999
EED	GLRX3	0.549
EED	GRB10	0.357
EED	H2AX	0.661
EED	HAT1	0.337
EED	HDAC1	0.952
EED	HDAC10	0.313
EED	HDAC2	0.988
EED	HDAC3	0.702
EED	HDAC5	0.635
EED	HDAC7	0.638
EED	HDAC8	0.471
EED	HIC1	0.372
EED	HNMT	0.420
EED	HNRNPK	0.555
EED	ITGB7	0.824
EED	JUN	0.560
EED	KDM1A	0.746
EED	KDM2B	0.688
EED	KDM5A	0.586
EED	KDM5B	0.513
EED	KDM6A	0.844
EED	KDM6B	0.858
EED	KDM7A	0.297
EED	KMT2A	0.578
EED	KMT2C	0.600
EED	KMT2D	0.577
EED	KMT5A	0.646
EED	KMT5C	0.231
EED	L3MBTL1	0.342
EED	MAFB	0.505
EED	MAN1A1	0.242
EED	MAN1A2	0.255
EED	MBD4	0.275
EED	MECOM	0.564
EED	MEIS1	0.635
EED	MTA1	0.635
EED	NACC1	0.213
EED	NFYB	0.364
EED	NR2E1	0.507
EED	NSD1	0.596
EED	NSD2	0.513
EED	NSD3	0.513
EED	PAX6	0.607
EED	PHC3	0.924
EED	PHF1	0.971
EED	PHF19	0.972
EED	PJA1	0.307
EED	PLEKHA1	0.237
EED	PML	0.502
EED	POLR2B	0.543
EED	POLR2C	0.559
EED	POLR2E	0.513
EED	POLR2F	0.521
EED	POLR2G	0.573
EED	POLR2I	0.534
EED	POLR2J	0.521
EED	POLR2K	0.521
EED	POLR2L	0.534
EED	PPARG	0.534
EED	PRDM14	0.495
EED	PRMT5	0.545
EED	PRMT7	0.287
EED	PSIP1	0.471
EED	RAD21	0.527
EED	RAI1	0.409
EED	RARA	0.550
EED	RARB	0.518
EED	RARG	0.532
EED	RBBP4	0.999
EED	RBBP6	0.482
EED	RBBP7	0.999
EED	REST	0.658
EED	RIOX2	0.224
EED	RLIM	0.310
EED	RNF2	0.997
EED	RPS12	0.543
EED	RPS27A	0.544
EED	RXRA	0.526
EED	RYBP	0.705
EED	SETD1A	0.590
EED	SETD1B	0.527
EED	SETD2	0.582
EED	SETD7	0.638
EED	SETDB1	0.616
EED	SETDB2	0.458
EED	SIN3A	0.547
EED	SIRT1	0.716
EED	SMAD9	0.312
EED	SMARCA5	0.535
EED	SMARCB1	0.518
EED	SMYD2	0.472
EED	SNAI1	0.581
EED	SOX2	0.631
EED	SUV39H1	0.669
EED	SUV39H2	0.617
EED	TGS1	0.479
EED	TLE1	0.333
EED	TP53	0.660
EED	TRIM28	0.558
EED	UBC	0.526
EED	UHRF2	0.363
EED	URAD	0.221
EED	UROS	0.330
EED	VAV1	0.625
EED	WDR5	0.618
EED	WDR77	0.485
EED	YY1	0.892
EED	ZIC3	0.232
EED	ZNF445	0.261
EED	ZNF483	0.164
EED	ZNF573	0.167
EED	ZNF740	0.175
EEF1A2	EEF1E1	0.409
EEF1A2	EEF1G	0.979
EEF1A2	EEF2	0.854
EEF1A2	EFTUD2	0.740
EEF1A2	EIF2S1	0.639
EEF1A2	EIF4A1	0.651
EEF1A2	EIF4A2	0.653
EEF1A2	EIF5A	0.728
EEF1A2	EIF5A2	0.663
EEF1A2	ENGASE	0.192
EEF1A2	ENO1	0.489
EEF1A2	ENO2	0.504
EEF1A2	EPN2	0.384
EEF1A2	ETF1	0.931
EEF1A2	FANCE	0.503
EEF1A2	FAU	0.495
EEF1A2	FLAD1	0.803
EEF1A2	GALNT1	0.206
EEF1A2	GALNT13	0.194
EEF1A2	GALNT15	0.163
EEF1A2	GALNT3	0.295
EEF1A2	GALNT4	0.193
EEF1A2	GALNT5	0.227
EEF1A2	GALNT6	0.331
EEF1A2	GALNT9	0.198
EEF1A2	GAPDH	0.731
EEF1A2	GAPDHS	0.449
EEF1A2	GATM	0.308
EEF1A2	GCNT1	0.474
EEF1A2	GCNT3	0.275
EEF1A2	GFM1	0.663
EEF1A2	GSTT2B	0.293
EEF1A2	HCN2	0.240
EEF1A2	HENMT1	0.175
EEF1A2	HLA-DRA	0.900
EEF1A2	HLA-DRB1	0.908
EEF1A2	HLF	0.272
EEF1A2	HSF1	0.912
EEF1A2	HSP90AA1	0.579
EEF1A2	HSP90AB1	0.576
EEF1A2	HSPA4	0.697
EEF1A2	HSPB8	0.333
EEF1A2	IDI2	0.217
EEF1A2	KDM4D	0.226
EEF1A2	LARS1	0.565
EEF1A2	LARS2	0.568
EEF1A2	LRRC4B	0.247
EEF1A2	LRRK2	0.531
EEF1A2	MAG	0.457
EEF1A2	MAPT	0.618
EEF1A2	MRPL1	0.511
EEF1A2	MRPS10	0.733
EEF1A2	MRPS12	0.494
EEF1A2	MRPS7	0.495
EEF1A2	MT-CO1	0.742
EEF1A2	MT-CO2	0.500
EEF1A2	MT-CYB	0.557
EEF1A2	MTF1	0.330
EEF1A2	MUC7	0.322
EEF1A2	NME2	0.651
EEF1A2	NPSR1	0.487
EEF1A2	OBSL1	0.401
EEF1A2	PABPC1	0.660
EEF1A2	PAPSS1	0.919
EEF1A2	PAPSS2	0.915
EEF1A2	PARP1	0.543
EEF1A2	PFN1	0.563
EEF1A2	PGK1	0.629
EEF1A2	PGK2	0.620
EEF1A2	POLR2B	0.725
EEF1A2	POU5F1	0.539
EEF1A2	PPA1	0.514
EEF1A2	PPA2	0.525
EEF1A2	PPP4C	0.436
EEF1A2	PTK6	0.443
EEF1A2	PTPN6	0.903
EEF1A2	RACK1	0.567
EEF1A2	RAN	0.942
EEF1A2	RPL10	0.557
EEF1A2	RPL10A	0.543
EEF1A2	RPL11	0.550
EEF1A2	RPL12	0.522
EEF1A2	RPL13	0.684
EEF1A2	RPL17	0.519
EEF1A2	RPL18	0.628
EEF1A2	RPL18A	0.504
EEF1A2	RPL19	0.535
EEF1A2	RPL21	0.577
EEF1A2	RPL23A	0.500
EEF1A2	RPL27	0.574
EEF1A2	RPL3	0.604
EEF1A2	RPL30	0.559
EEF1A2	RPL32	0.654
EEF1A2	RPL3L	0.549
EEF1A2	RPL4	0.817
EEF1A2	RPL5	0.739
EEF1A2	RPL7	0.687
EEF1A2	RPL8	0.737
EEF1A2	RPLP0	0.617
EEF1A2	RPS11	0.500
EEF1A2	RPS15	0.736
EEF1A2	RPS18	0.722
EEF1A2	RPS19	0.537
EEF1A2	RPS2	0.793
EEF1A2	RPS20	0.806
EEF1A2	RPS23	0.553
EEF1A2	RPS27A	0.562
EEF1A2	RPS28	0.616
EEF1A2	RPS3	0.770
EEF1A2	RPS3A	0.760
EEF1A2	RPS5	0.637
EEF1A2	RPS6	0.722
EEF1A2	RPS8	0.535
EEF1A2	RPSA	0.673
EEF1A2	RTN4RL2	0.324
EEF1A2	SIGLEC7	0.333
EEF1A2	SLC13A5	0.344
EEF1A2	SLC3A2	0.425
EEF1A2	SPTBN5	0.168
EEF1A2	ST3GAL2	0.232
EEF1A2	ST3GAL3	0.357
EEF1A2	ST3GAL4	0.293
EEF1A2	ST3GAL6	0.234
EEF1A2	ST6GAL1	0.427
EEF1A2	ST6GALNAC1	0.944
EEF1A2	ST6GALNAC2	0.891
EEF1A2	ST6GALNAC3	0.178
EEF1A2	ST6GALNAC4	0.439
EEF1A2	ST6GALNAC6	0.257
EEF1A2	ST8SIA2	0.227
EEF1A2	SULT1A3	0.180
EEF1A2	SUMF1	0.304
EEF1A2	TAF6	0.405
EEF1A2	TBC1D24	0.228
EEF1A2	TNNC1	0.270
EEF1A2	TNNT1	0.267
EEF1A2	TP53	0.517
EEF1A2	TPI1	0.618
EEF1A2	TUBA1C	0.456
EEF1A2	TUBA3D	0.463
EEF1A2	TUBA3E	0.457
EEF1A2	TUBA4A	0.468
EEF1A2	TUBA8	0.464
EEF1A2	TUBAL3	0.462
EEF1A2	TUBG2	0.231
EEF1A2	UBA52	0.520
EEF1A2	UBC	0.669
EEF1A2	URM1	0.252
EEF1A2	WARS2	0.444
EEF1A2	YARS1	0.506
EEF1A2	ZBTB16	0.445
EEF1A2	ZNF490	0.232
EEF1E1	EEF1G	0.691
EEF1E1	EEF2	0.558
EEF1E1	EFTUD2	0.419
EEF1E1	EIF2S1	0.440
EEF1E1	EIF2S3	0.392
EEF1E1	ENOPH1	0.249
EEF1E1	FAH	0.418
EEF1E1	FAHD1	0.425
EEF1E1	FARS2	0.389
EEF1E1	FARSA	0.331
EEF1E1	FARSB	0.474
EEF1E1	GAPDH	0.385
EEF1E1	GFM1	0.363
EEF1E1	GGH	0.319
EEF1E1	GLO1	0.365
EEF1E1	GLRX3	0.317
EEF1E1	HARS2	0.419
EEF1E1	HGD	0.606
EEF1E1	HSP90AA1	0.436
EEF1E1	HUWE1	0.338
EEF1E1	IARS1	0.996
EEF1E1	LARS1	0.997
EEF1E1	LARS2	0.844
EEF1E1	LRRK2	0.317
EEF1E1	MARS2	0.968
EEF1E1	MRPL1	0.392
EEF1E1	MRPL13	0.503
EEF1E1	MRPL17	0.388
EEF1E1	MRPL3	0.362
EEF1E1	MRPL39	0.401
EEF1E1	MRPL46	0.324
EEF1E1	MRPS10	0.327
EEF1E1	MRPS15	0.324
EEF1E1	MRPS2	0.341
EEF1E1	MRPS5	0.316
EEF1E1	MRPS7	0.339
EEF1E1	NARS2	0.434
EEF1E1	NDUFAB1	0.358
EEF1E1	OLA1	0.328
EEF1E1	PAICS	0.354
EEF1E1	PARS2	0.437
EEF1E1	PKN2	0.315
EEF1E1	POLR1A	0.553
EEF1E1	POLR1B	0.496
EEF1E1	POLR1C	0.653
EEF1E1	POLR2B	0.465
EEF1E1	POLR2C	0.659
EEF1E1	POLR2F	0.552
EEF1E1	POLR3A	0.524
EEF1E1	POLR3B	0.461
EEF1E1	PPA1	0.403
EEF1E1	PPA2	0.349
EEF1E1	PPIL1	0.329
EEF1E1	PSMD14	0.419
EEF1E1	PYGO1	0.166
EEF1E1	RABGGTA	0.321
EEF1E1	RARS2	0.749
EEF1E1	RPL11	0.327
EEF1E1	RPL13	0.369
EEF1E1	RPL13A	0.385
EEF1E1	RPL15	0.341
EEF1E1	RPL18	0.333
EEF1E1	RPL21	0.364
EEF1E1	RPL23	0.334
EEF1E1	RPL23A	0.380
EEF1E1	RPL27A	0.455
EEF1E1	RPL30	0.343
EEF1E1	RPL36	0.315
EEF1E1	RPL4	0.364
EEF1E1	RPL5	0.392
EEF1E1	RPL7	0.344
EEF1E1	RPL7A	0.400
EEF1E1	RPL9	0.316
EEF1E1	RPLP0	0.438
EEF1E1	RPS10	0.318
EEF1E1	RPS11	0.357
EEF1E1	RPS2	0.405
EEF1E1	RPS5	0.338
EEF1E1	RPS7	0.334
EEF1E1	RPS8	0.326
EEF1E1	RPSA	0.426
EEF1E1	SARS2	0.333
EEF1E1	SDCBP	0.816
EEF1E1	SNRNP35	0.279
EEF1E1	SNRNP48	0.287
EEF1E1	TARS2	0.426
EEF1E1	TP53	0.477
EEF1E1	TXNDC5	0.363
EEF1E1	VARS2	0.477
EEF1E1	WARS2	0.388
EEF1E1	YARS1	0.525
EEF1E1	YARS2	0.513
EEF1E1	YWHAZ	0.318
EEF1E1	ZNF786	0.243
EEF1G	EEF2	0.994
EEF1G	EFTUD2	0.825
EEF1G	EIF2B4	0.386
EEF1G	EIF4A1	0.894
EEF1G	EIF4A2	0.851
EEF1G	EIF4B	0.537
EEF1G	EIF5	0.522
EEF1G	EIF5A	0.755
EEF1G	ERP44	0.329
EEF1G	ETF1	0.663
EEF1G	FAH	0.414
EEF1G	FAHD1	0.421
EEF1G	FARSA	0.424
EEF1G	FARSB	0.547
EEF1G	FAU	0.932
EEF1G	FDFT1	0.413
EEF1G	FLT3LG	0.753
EEF1G	FMO1	0.307
EEF1G	FMO2	0.307
EEF1G	FTL	0.486
EEF1G	FTMT	0.353
EEF1G	GAPDH	0.805
EEF1G	GAPDHS	0.460
EEF1G	GDAP1	0.349
EEF1G	GFM1	0.782
EEF1G	GMPR	0.376
EEF1G	GMPR2	0.399
EEF1G	GPI	0.791
EEF1G	GSTO1	0.485
EEF1G	GSTO2	0.406
EEF1G	GSTZ1	0.461
EEF1G	HBG2	0.187
EEF1G	HGD	0.606
EEF1G	HMBS	0.435
EEF1G	HNRNPA3	0.396
EEF1G	HPGDS	0.748
EEF1G	HSF1	0.353
EEF1G	HSP90AA1	0.738
EEF1G	HSP90AB1	0.725
EEF1G	HSPA12B	0.310
EEF1G	HSPA14	0.379
EEF1G	HSPA6	0.473
EEF1G	HYAL3	0.195
EEF1G	IARS1	0.464
EEF1G	ILF2	0.696
EEF1G	IMPDH1	0.425
EEF1G	IMPDH2	0.607
EEF1G	INPPL1	0.434
EEF1G	KLC1	0.567
EEF1G	KRT17	0.401
EEF1G	KRT9	0.290
EEF1G	LARS1	0.459
EEF1G	LHPP	0.302
EEF1G	LIN28A	0.512
EEF1G	LSM4	0.460
EEF1G	MKKS	0.743
EEF1G	MRPL1	0.706
EEF1G	MRPL13	0.857
EEF1G	MRPL3	0.720
EEF1G	MRPL4	0.705
EEF1G	MRPS2	0.794
EEF1G	MRPS5	0.891
EEF1G	MRPS7	0.848
EEF1G	MSL2	0.287
EEF1G	MTNR1A	0.231
EEF1G	NARS2	0.339
EEF1G	NDRG1	0.420
EEF1G	NME2	0.614
EEF1G	NPEPPS	0.288
EEF1G	NPM1	0.845
EEF1G	NPSR1	0.865
EEF1G	NUBP1	0.280
EEF1G	NUDC	0.507
EEF1G	NUDT10	0.236
EEF1G	NUDT11	0.236
EEF1G	NUDT14	0.216
EEF1G	NUDT5	0.264
EEF1G	OBSL1	0.379
EEF1G	OLA1	0.687
EEF1G	PARS2	0.802
EEF1G	PDHA1	0.648
EEF1G	PDIA3	0.487
EEF1G	PDIA5	0.339
EEF1G	PDIA6	0.421
EEF1G	PGA4	0.185
EEF1G	PGA5	0.185
EEF1G	PITRM1	0.354
EEF1G	PLOD3	0.365
EEF1G	POLR1B	0.741
EEF1G	POLR2C	0.820
EEF1G	POLR2G	0.692
EEF1G	PPA1	0.794
EEF1G	PPA2	0.783
EEF1G	PPFIBP1	0.500
EEF1G	PPID	0.505
EEF1G	PPM1B	0.527
EEF1G	PPP2R2A	0.447
EEF1G	PRKAR1A	0.651
EEF1G	PSMA1	0.609
EEF1G	PSMA2	0.550
EEF1G	PSMA3	0.735
EEF1G	PSMA4	0.551
EEF1G	PSMA5	0.721
EEF1G	PSMA6	0.564
EEF1G	PSMA7	0.594
EEF1G	PSMD11	0.569
EEF1G	PSMD14	0.661
EEF1G	PSMD7	0.499
EEF1G	PSMD8	0.515
EEF1G	RAB11FIP2	0.368
EEF1G	RACK1	0.994
EEF1G	RAN	0.580
EEF1G	RANBP2	0.629
EEF1G	RPL10	0.870
EEF1G	RPL10A	0.908
EEF1G	RPL10L	0.793
EEF1G	RPL11	0.987
EEF1G	RPL12	0.868
EEF1G	RPL13	0.978
EEF1G	RPL13A	0.969
EEF1G	RPL14	0.939
EEF1G	RPL15	0.983
EEF1G	RPL17	0.885
EEF1G	RPL18	0.990
EEF1G	RPL18A	0.985
EEF1G	RPL19	0.993
EEF1G	RPL21	0.976
EEF1G	RPL23	0.978
EEF1G	RPL23A	0.979
EEF1G	RPL24	0.921
EEF1G	RPL26	0.817
EEF1G	RPL26L1	0.731
EEF1G	RPL27	0.876
EEF1G	RPL27A	0.870
EEF1G	RPL29	0.889
EEF1G	RPL3	0.968
EEF1G	RPL30	0.932
EEF1G	RPL31	0.858
EEF1G	RPL32	0.710
EEF1G	RPL35	0.937
EEF1G	RPL35A	0.808
EEF1G	RPL36A	0.697
EEF1G	RPL39	0.719
EEF1G	RPL3L	0.730
EEF1G	RPL4	0.983
EEF1G	RPL5	0.993
EEF1G	RPL6	0.987
EEF1G	RPL7	0.950
EEF1G	RPL7A	0.963
EEF1G	RPL8	0.971
EEF1G	RPL9	0.941
EEF1G	RPLP0	0.996
EEF1G	RPS10	0.964
EEF1G	RPS11	0.972
EEF1G	RPS12	0.848
EEF1G	RPS13	0.950
EEF1G	RPS15	0.965
EEF1G	RPS16	0.961
EEF1G	RPS17	0.757
EEF1G	RPS18	0.970
EEF1G	RPS19	0.967
EEF1G	RPS2	0.986
EEF1G	RPS20	0.949
EEF1G	RPS23	0.897
EEF1G	RPS24	0.957
EEF1G	RPS25	0.820
EEF1G	RPS26	0.945
EEF1G	RPS27A	0.783
EEF1G	RPS3	0.996
EEF1G	RPS3A	0.994
EEF1G	RPS4X	0.982
EEF1G	RPS4Y1	0.910
EEF1G	RPS5	0.968
EEF1G	RPS6	0.956
EEF1G	RPS7	0.961
EEF1G	RPS8	0.989
EEF1G	RPS9	0.911
EEF1G	RPSA	0.984
EEF1G	SARS2	0.338
EEF1G	SDS	0.366
EEF1G	SDSL	0.376
EEF1G	SEC31A	0.523
EEF1G	SLC25A6	0.495
EEF1G	SMG1	0.356
EEF1G	SRR	0.344
EEF1G	STIP1	0.646
EEF1G	SUMO2	0.673
EEF1G	TDRD12	0.301
EEF1G	TEP1	0.359
EEF1G	TFG	0.527
EEF1G	THTPA	0.200
EEF1G	TKT	0.542
EEF1G	TMX3	0.275
EEF1G	TP53I3	0.284
EEF1G	TPM3	0.558
EEF1G	TRAP1	0.498
EEF1G	TREH	0.380
EEF1G	TRIT1	0.419
EEF1G	TUBA1A	0.551
EEF1G	TUBA1B	0.561
EEF1G	TUBA1C	0.541
EEF1G	TUBA3C	0.413
EEF1G	TUBA3D	0.487
EEF1G	TUBA3E	0.494
EEF1G	TUBA4A	0.519
EEF1G	TUBA8	0.485
EEF1G	TUBAL3	0.506
EEF1G	TUBB	0.694
EEF1G	TUBB1	0.538
EEF1G	TUBB2A	0.656
EEF1G	TUBB2B	0.570
EEF1G	TUBB3	0.593
EEF1G	TUBB4A	0.616
EEF1G	TUBB4B	0.617
EEF1G	TUBB6	0.637
EEF1G	TXN2	0.448
EEF1G	TXNDC5	0.375
EEF1G	UBA52	0.863
EEF1G	UGCG	0.349
EEF1G	VARS2	0.622
EEF1G	VAT1	0.314
EEF1G	VRK3	0.306
EEF1G	YARS1	0.552
EEF1G	ZNF30	0.186
EEF1G	ZNF33B	0.197
EEF1G	ZNF496	0.216
EEF2	EIF1AX	0.763
EEF2	EIF2B1	0.339
EEF2	EIF2B2	0.535
EEF2	EIF2B3	0.418
EEF2	EIF2B5	0.460
EEF2	EIF2S1	0.850
EEF2	EIF2S2	0.645
EEF2	EIF2S3	0.709
EEF2	EIF4A1	0.970
EEF2	EIF4A2	0.939
EEF2	EIF4B	0.862
EEF2	EIF4G2	0.473
EEF2	EIF4H	0.762
EEF2	EIF5	0.860
EEF2	EIF5A	0.996
EEF2	EIF5A2	0.875
EEF2	EIF5B	0.888
EEF2	EIF6	0.765
EEF2	ENO1	0.876
EEF2	ENO2	0.566
EEF2	ENO3	0.549
EEF2	ENSA	0.518
EEF2	ERAP1	0.349
EEF2	ERAP2	0.328
EEF2	ETF1	0.796
EEF2	FANCE	0.932
EEF2	FARS2	0.527
EEF2	FARSA	0.559
EEF2	FAU	0.998
EEF2	FCN2	0.416
EEF2	FGF14	0.263
EEF2	FLNB	0.527
EEF2	FLT3LG	0.940
EEF2	GAMT	0.395
EEF2	GAPDH	0.810
EEF2	GAPDHS	0.589
EEF2	GATM	0.412
EEF2	GCA	0.276
EEF2	GDI1	0.434
EEF2	GFM2	0.487
EEF2	GLB1	0.351
EEF2	GRIK4	0.406
EEF2	GRIK5	0.393
EEF2	GSTT2B	0.516
EEF2	GSTZ1	0.335
EEF2	GUCA1A	0.543
EEF2	GUCA1B	0.389
EEF2	GUCA1C	0.304
EEF2	GUCY2D	0.330
EEF2	HARS2	0.379
EEF2	HAS1	0.383
EEF2	HAS2	0.383
EEF2	HAS3	0.383
EEF2	HBEGF	0.507
EEF2	HFM1	0.514
EEF2	HIRA	0.324
EEF2	HMBS	0.482
EEF2	HNRNPA1	0.777
EEF2	HNRNPA2B1	0.744
EEF2	HNRNPA3	0.544
EEF2	HNRNPK	0.596
EEF2	HNRNPL	0.553
EEF2	HPCA	0.310
EEF2	HSD17B10	0.752
EEF2	HSP90AB1	0.868
EEF2	HSPA12B	0.308
EEF2	HSPA5	0.858
EEF2	HSPA6	0.511
EEF2	HSPA8	0.841
EEF2	HSPD1	0.636
EEF2	IARS1	0.504
EEF2	INTS9	0.227
EEF2	KDM5D	0.446
EEF2	KIN	0.264
EEF2	KPNB1	0.680
EEF2	LARS1	0.658
EEF2	LARS2	0.654
EEF2	LHPP	0.329
EEF2	LNPEP	0.329
EEF2	LRFN4	0.253
EEF2	LSM10	0.575
EEF2	LSM2	0.380
EEF2	LSM3	0.436
EEF2	LSM4	0.462
EEF2	LSM5	0.366
EEF2	LSM6	0.344
EEF2	LSM7	0.360
EEF2	LTA4H	0.393
EEF2	MARS2	0.362
EEF2	MAT2A	0.468
EEF2	METAP1	0.647
EEF2	METAP2	0.668
EEF2	MKKS	0.317
EEF2	MRPL12	0.946
EEF2	MRPL17	0.935
EEF2	MRPL19	0.927
EEF2	MRPL20	0.923
EEF2	MRPL27	0.938
EEF2	MRPL32	0.923
